1352.95,1663.10
1676.90,1829.41
1019.48,1629.84
590.73,1629.84
209.61,1629.84
2258.09,2162.03
2096.12,2472.48
1200.51,2051.16
724.11,1984.63
905.14,1075.47
466.86,1075.47
152.45,1075.47
1372.01,1142.00
247.72,2150.94
895.62,2550.09
647.89,532.19
2591.57,2705.31
2038.95,1740.71
2705.90,2128.77
2620.15,3126.63
1629.26,2394.86
2153.29,3049.02
466.86,2616.61
1810.29,1275.04
200.08,521.10
285.83,255.01
1162.39,609.80
209.61,2605.52
1324.37,2683.13
1648.31,3082.28
2572.51,1640.93
1867.45,2915.97
1219.56,3137.72
247.72,3104.45
2296.21,1241.78
1657.84,720.68
781.28,199.57
724.11,3104.45
1295.78,232.83
2705.90,1142.00
1724.54,232.83
2105.65,798.29
2610.62,587.63
2153.29,255.01
2610.62,144.14
1171.92,2417.04
1610.20,2128.77
562.14,2383.78
733.64,1452.44
914.67,2893.79
1648.31,1552.23
419.22,842.64
2058.01,543.28
2353.37,1796.15
2524.87,2428.13
971.84,2228.55
1076.64,1430.27
2029.43,1984.63
1610.20,953.51
2286.68,2782.92
