74.86	68.57	3626	80.03	3926	95.93	4198	94.4	3605	87.08	3567
113.12	68.47	3246	80.14	3591	95.85	3839	94.44	3285	87.11	3288
77.42	68.54	2434	79.99	2593	95.9	2885	94.48	2525	86.9	2439
123.57	68.52	3481	80.07	3886	95.8	4117	94.47	3610	87.07	3545
111.8	68.56	3379	80.06	3747	95.84	4019	94.45	3386	87.1	3451
155.26	68.51	2747	80.12	3083	95.85	3365	94.46	2865	87.09	2981
204.82	68.5	2973	80.06	3379	95.88	3601	94.43	3075	87.1	3102
204.82	68.57	2998	80.08	3322	95.97	3638	94.46	3086	87.1	3110
149.06	68.54	3410	80.11	3793	95.92	4080	94.43	3514	87.11	3509
133.82	68.65	3453	80.16	3869	95.9	4141	94.44	3518	87.15	3568
279.89	68.59	2106	80.1	2301	95.99	2540	94.44	2208	87.16	2275
273.2	68.68	2079	80.08	2321	95.9	2569	94.45	2237	87.11	2248
280.59	68.49	2098	80.02	2320	96.01	2583	94.46	2222	87.11	2235
73.29	68.63	3754	80.13	4142	96.01	4379	94.44	3793	87.16	3760
124.86	68.56	3520	80.1	3911	95.87	4168	94.46	3565	87.15	3609
124.7	68.56	3506	80.13	3990	95.96	4155	94.47	3548	87.14	3578
129.57	68.5	3496	80.09	3890	95.93	4136	94.47	3522	87.13	3547
172.02	68.54	3329	80.19	3611	95.93	3884	94.42	3309	87.16	3349
155.09	68.5	2491	80.09	2849	95.97	3056	94.42	2612	87.11	2618
75.49	68.51	2348	80.12	2580	95.93	2782	94.53	2450	87.15	2418
160.39	68.59	2419	80.2	2724	95.98	2968	94.49	2574	87.15	2584
251.65	68.62	2300	80.05	2546	95.95	2804	94.54	2467	87.18	2444
149.66	68.51	2430	79.97	2797	95.98	2983	94.47	2575	87.14	2597
239.17	68.63	2377	80.12	2619	95.93	2852	94.47	2463	87.2	2528
136.71	68.58	2262	80.09	2555	95.93	2808	94.47	2429	87.18	2424
280.2	68.66	2376	80.01	2699	95.93	2958	94.46	2550	87.14	2566
180.97	68.58	2423	80.05	2692	96.02	2987	94.5	2594	87.16	2565
165.17	68.55	2634	80.07	2969	95.91	3243	94.6	2776	87.13	2797
275.89	68.62	2328	80.08	2616	95.89	2860	94.46	2464	87.16	2490
260.51	68.53	2336	80.06	2667	95.97	2905	94.51	2489	87.21	2530
189.22	68.58	2541	80	    2881	95.87	3159	94.52	2695	86.97	2774
185.23	68.57	2491	80.09	2806	95.95	3087	94.51	2658	87.15	2662
105.9	68.57	3732	80.15	4125	96	    4396	94.48	3811	87.13	3764
159.85	68.58	3401	80.11	3792	95.98	4141	94.55	3467	87.19	3471
238.71	68.7	2020	80.07	2273	95.85	2487	94.55	2212	87.16	2248
187.24	68.58	2139	80.05	2384	95.97	2616	94.5	2269	87.12	2327
70.23	68.56	2995	80.09	3367	95.95	3683	94.53	3126	87.11	3127
241.98	68.62	1986	80.17	2230	95.91	2457	94.43	2133	87.25	2178
275.81	68.53	1910	80.12	2155	96.09	2367	94.45	2052	87.12	2095
291.89	68.52	2262	80.11	2483	95.9	2747	94.51	2396	87.18	2385
91.88	68.54	3809	80.13	4205	96.03	4464	94.46	3797	87.14	3807
129.57	68.54	3030	80.16	3422	95.92	3664	94.5	3099	87.13	3187
123.69	68.62	3745	80.2	4085	95.99	4363	94.56	3705	87.07	3717
94.21	68.79	3802	80.05	4178	96.02	4429	94.49	3838	87.16	3801
135.55	68.67	3611	80.09	3991	96.01	4248	94.5	3625	87.27	3660
110.85	68.59	3689	79.99	4068	96.03	4358	94.58	3692	87.13	3706
83.99	68.58	3794	80.14	4137	95.91	4395	94.52	3731	87.18	3757
112.8	68.62	3708	80.06	4054	96.05	4325	94.56	3681	87.04	3746
185.23	68.53	2556	80.13	2891	96.04	3126	94.51	2654	87.12	2693
107.85	68.66	3710	80.13	4091	95.93	4388	94.41	3701	87.1	3712
286.62	68.55	2087	80.07	2344	96.05	2570	94.5	2219	87.12	2283
151.43	68.56	3161	80.12	3484	95.85	3778	94.47	3224	87.15	3248
70.07	68.67	3355	80.09	3616	95.96	3920	94.54	3331	87.11	3359
149.66	68.68	2476	79.91	2781	95.96	3062	94.51	2606	87.16	2620
72.73	68.51	3203	80.12	3576	95.97	3850	94.46	3291	87.14	3304
75.49	68.45	3163	80.1	3491	95.95	3787	94.47	3236	87.13	3237
84.11	68.71	3135	80.1	3519	95.89	3785	94.5	3248	87.13	3334
