0, 0, 176
1, 0, 819
2, 0, 182
3, 0, 677
4, 1, 599
5, 1, 167
6, 1, 735
7, 1, 1188
8, 1, 219
9, 1, 1197
10, 1, 894
11, 1, 636
12, 1, 1196
13, 1, 376
14, 1, 163
15, 2, 834
16, 2, 377
17, 2, 408
18, 3, 1192
19, 3, 691
20, 3, 760
21, 3, 1193
22, 3, 881
23, 4, 370
24, 4, 1195
25, 4, 368
26, 4, 666
27, 9, 1191
28, 11, 227
29, 18, 961
30, 45, 664
31, 53, 1050
32, 58, 402
33, 65, 765
34, 66, 273
35, 78, 254
36, 94, 391
37, 94, 427
38, 100, 1199
39, 107, 438
40, 113, 286
41, 115, 278
42, 117, 307
43, 119, 654
44, 130, 407
45, 151, 335
46, 154, 719
47, 154, 539
48, 165, 1194
49, 168, 876
50, 183, 393
51, 184, 1009
52, 188, 490
53, 209, 578
54, 214, 536
55, 231, 608
56, 235, 705
57, 238, 452
58, 245, 424
59, 252, 552
60, 269, 1170
61, 275, 692
62, 279, 1140
63, 289, 783
64, 316, 600
65, 317, 548
66, 334, 485
67, 336, 695
68, 343, 977
69, 354, 844
70, 359, 528
71, 373, 600
72, 391, 1079
73, 393, 543
74, 395, 1190
75, 398, 548
76, 404, 833
77, 410, 599
78, 416, 674
79, 423, 968
80, 428, 677
81, 451, 633
82, 461, 1195
83, 463, 1193
84, 496, 1092
85, 498, 737
86, 517, 673
87, 518, 707
88, 522, 723
89, 538, 1026
90, 541, 709
91, 570, 1197
92, 575, 1192
93, 586, 1197
94, 588, 1140
95, 593, 834
96, 598, 844
97, 601, 1061
98, 616, 1001
99, 629, 1177
100, 630, 1170
101, 636, 852
102, 643, 1194
103, 649, 909
104, 653, 1199
105, 657, 809
106, 667, 887
107, 673, 844
108, 693, 853
109, 698, 1196
110, 712, 1192
111, 730, 1029
112, 751, 1028
113, 763, 1196
114, 764, 1193
115, 777, 1005
116, 783, 1000
117, 787, 957
118, 849, 1114
119, 869, 1157
120, 871, 1194
121, 878, 1028
122, 878, 1173
123, 888, 1198
124, 899, 1179
125, 913, 1124
126, 932, 1196
127, 940, 1155
128, 963, 1158
129, 967, 1190
130, 968, 1145
131, 969, 1197
132, 971, 1195
133, 973, 1178
134, 999, 1175
135, 1018, 1199
136, 1028, 1199
