0,115
1,462
2,463
3,510
4,529
5,538
6,539
7,546
8,555
9,554
10,551
11,557
12,558
13,563
14,562
15,564
16,567
17,567
18,569
19,561
20,561
21,561
22,561
23,561
24,561
25,561
26,561
27,561
28,561
29,568
30,572
31,578
32,573
33,577
34,575
35,577
36,581
37,582
38,583
39,583
40,583
41,585
42,586
43,587
44,585
45,588
46,588
47,595
48,591
49,586
50,589
51,588
52,590
53,594
54,586
55,586
56,586
57,586
58,599
59,604
60,594
61,592
62,595
63,598
64,592
65,597
66,601
67,598
68,598
69,600
70,598
71,597
72,600
73,600
74,598
75,601
76,602
77,600
78,601
79,596
80,596
81,596
82,596
83,596
84,596
85,596
86,596
87,596
88,596
89,597
90,601
91,605
92,605
93,606
94,609
95,606
96,611
97,606
98,607
99,605
100,607
101,608
102,611
103,612
104,614
105,613
106,612
107,611
108,613
109,613
110,613
111,617
112,616
113,617
114,617
115,618
116,619
117,619
118,621
119,623
120,620
121,619
122,621
123,620
124,624
125,624
126,625
127,624
128,626
129,624
130,622
131,624
132,624
133,624
134,627
135,628
136,629
137,628
138,631
139,629
140,628
141,628
142,628
143,628
144,628
145,628
146,628
147,628
148,628
149,629
150,630
151,631
152,632
153,631
154,631
155,634
156,635
157,637
158,640
159,638
160,638
161,640
162,641
163,641
164,642
165,642
166,643
167,644
168,645
169,645
170,644
171,647
172,646
173,646
174,648
175,647
176,647
177,646
178,646
179,646
180,646
181,650
182,649
183,649
184,650
185,649
186,650
187,651
188,651
189,651
190,651
191,650
192,651
193,651
194,651
195,652
196,652
197,652
198,652
199,651
200,651
201,651
202,651
203,651
204,651
205,651
206,651
207,651
208,651
209,652
210,653
211,652
212,652
213,651
214,652
215,651
216,651
217,653
218,651
219,651
220,654
221,655
222,654
223,651
224,652
225,651
226,652
227,652
228,653
229,653
230,655
231,656
232,656
233,656
234,659
235,657
236,657
237,657
238,657
239,658
240,659
241,659
242,659
243,658
244,659
245,658
246,658
247,658
248,656
249,656
250,658
251,657
252,657
253,655
254,657
