172,455
464,160
514,417
10008,217
10022,26
10032,299
10058,247
10071,622
10078,19
10089,205
10122,892
10144,667
10148,795
10151,646
10179,93
10185,358
10188,258
10195,241
10207,444
10218,410
10236,37
10243,703
10245,821
10252,676
10261,412
10297,603
10337,669
10359,408
10367,744
10368,156
10370,419
10385,639
10389,57
10422,929
10428,457
10477,621
10483,372
10554,20
10562,638
10583,365
10620,448
10625,31
10694,680
10719,98
10723,96
10777,403
10790,274
10803,191
10808,13
10887,81
10888,939
10892,450
10907,452
10932,585
11008,496
11051,901
11101,583
11134,510
11156,224
11159,497
11190,921
11200,296
11201,746
11207,185
11209,280
11220,822
11244,565
11262,313
11265,257
11308,559
11312,629
11380,754
11398,553
11424,935
11429,276
11440,232
11495,651
11502,106
11537,710
11539,546
11579,690
11601,318
11609,832
11624,53
11626,769
11646,21
11651,593
11658,698
11666,689
11694,149
11752,35
11759,751
11802,342
11807,609
11830,909
11840,563
11841,418
11890,175
11892,551
11897,377
11904,706
11928,475
11949,36
11956,827
11966,315
11998,535
12686,589
12697,424
12705,239
12707,137
12731,283
12748,279
12759,143
12779,950
12785,41
12813,209
12836,642
12846,145
12859,752
12867,917
12869,368
12880,298
12893,72
12902,324
12916,748
12922,550
12925,63
12934,376
12950,484
13007,228
13106,907
13136,566
13142,267
13146,560
13153,179
13163,34
13191,56
13201,840
13226,750
13230,577
13231,288
13235,222
13245,390
13247,375
13250,244
13277,873
13284,254
13290,640
13299,132
13309,549
13317,478
13323,652
13324,141
13333,394
13348,52
13349,397
13361,203
13371,773
13392,346
13410,631
13411,337
13457,536
13460,598
13471,915
13472,632
13505,891
13506,333
13531,369
13573,295
13602,756
13608,772
13626,747
13631,414
13632,152
13637,213
13639,933
13644,835
13647,644
13674,733
13729,787
13741,489
13755,767
13796,677
13817,351
13835,905
13889,647
14047,783
14052,607
14077,89
14085,575
14096,899
14107,90
14109,831
14132,431
14134,507
14169,331
14185,99
14210,58
14241,914
14247,673
14255,927
14304,491
14305,702
14353,665
14357,22
14371,474
14385,8
14388,799
14399,954
14401,730
14412,653
14413,762
14420,462
14440,648
14449,256
14452,693
14455,820
14472,674
14483,138
14494,672
14496,123
14497,951
14500,682
14520,883
14523,111
14528,949
14538,395
14590,306
14622,325
14623,459
14644,590
14699,937
14802,83
14890,105
14901,388
14911,490
14923,415
14932,212
14938,955
14958,126
14961,277
14964,65
15032,734
15033,807
15041,188
15044,612
15078,100
15106,738
15108,421
15156,406
15166,514
15180,392
15188,936
15190,328
15213,908
15214,814
15223,231
15230,696
15240,443
15249,595
15262,435
15266,498
15267,778
15305,339
15327,878
15358,564
15387,724
15415,942
15416,381
15453,382
15456,519
15471,574
15506,6
15507,959
15529,356
15548,586
15549,825
15566,843
15576,810
15580,194
15581,516
15586,833
15606,291
15614,888
15625,513
15626,334
15638,384
15642,599
15643,433
15644,192
15660,719
15677,297
15690,124
15695,198
15713,112
15715,272
15741,405
15758,166
15762,735
15764,119
15765,251
15780,882
15789,934
15818,704
