576,1046.35,20.18
577,1048.25,32.15
578,1050.16,44.13
579,1052.06,56.1
580,1053.97,68.08
581,1055.87,80.05
582,1057.78,92.02
583,1059.68,104.0
584,1061.59,115.97
585,1063.5,127.95
586,1065.4,139.92
587,1067.12,147.46
588,1068.83,155.0
589,1070.64,162.43
590,1072.36,169.97
591,1074.07,177.51
592,1075.79,185.05
593,1077.5,192.59
594,1079.31,200.02
595,1081.03,207.55
596,1082.74,215.09
597,1084.46,222.63
598,1086.17,230.17
599,1087.89,237.71
600,1089.7,245.14
601,1091.41,252.68
602,1093.13,260.22
603,1100.27,291.82
604,1107.51,323.42
605,1114.76,355.02
606,1121.9,386.62
607,1124.76,402.8
608,1127.71,418.99
609,1130.57,435.29
610,1133.53,451.48
611,1136.38,467.66
612,1139.24,483.85
613,1142.2,500.04
614,1145.05,516.23
615,1148.01,532.41
616,1150.87,548.71
617,1153.72,564.9
618,1156.68,581.09
619,1159.54,597.27
620,1162.39,613.46
621,1165.35,629.76
622,1168.21,645.95
623,1171.16,662.14
624,1174.02,678.32
625,1172.4,690.08
626,1170.78,701.94
627,1169.06,713.69
628,1167.44,725.56
629,1165.82,737.31
630,1164.2,749.06
631,1162.59,760.92
632,1160.87,772.68
633,1159.25,784.54
634,1157.63,796.29
635,1153.06,807.71
636,1148.48,819.24
637,1144.01,830.66
638,1139.43,842.08
639,1134.86,853.61
640,1130.29,865.03
641,1125.71,876.45
642,1121.23,887.87
643,1116.66,899.4
644,1112.09,910.82
645,1102.56,923.35
646,1092.94,935.88
647,1083.41,948.52
648,1073.79,961.05
649,1064.26,973.58
650,1054.73,986.11
651,1045.11,998.64
652,1035.58,1011.28
653,1025.96,1023.8
654,1016.43,1036.33
655,1007.28,1046.2
656,998.13,1056.07
657,988.99,1065.94
658,979.84,1075.8
659,970.69,1085.67
660,961.55,1095.54
661,952.4,1105.41
662,943.25,1115.27
663,934.11,1125.14
664,924.96,1135.01
665,917.15,1145.77
666,909.43,1156.52
667,901.62,1167.27
668,893.9,1178.14
669,886.09,1188.89
670,878.37,1199.65
671,870.56,1210.4
672,862.84,1221.16
673,855.03,1231.91
674,847.31,1242.67
675,839.5,1253.53
676,831.68,1264.29
677,823.97,1275.04
678,816.15,1285.8
679,808.44,1296.55
680,800.62,1307.31
681,792.91,1318.17
682,785.09,1328.93
683,777.38,1339.68
684,769.56,1350.44
685,766.13,1363.74
686,762.61,1377.05
687,759.08,1390.24
688,755.65,1403.55
689,752.22,1416.85
690,748.7,1430.16
691,745.17,1443.46
692,741.74,1456.65
693,738.31,1469.96
694,734.79,1483.26
695,733.83,1496.24
696,732.88,1509.32
697,731.83,1522.29
698,730.88,1535.37
699,729.93,1548.35
700,728.97,1561.32
701,728.02,1574.4
702,726.97,1587.37
703,726.02,1600.46
704,725.07,1613.43
705,724.31,1628.06
706,723.45,1642.7
707,722.69,1657.33
708,721.92,1671.97
709,721.16,1686.61
710,720.3,1701.24
711,719.54,1715.88
712,718.78,1730.51
713,717.92,1745.15
714,717.16,1759.78
715,715.83,1774.42
716,714.49,1789.05
717,713.06,1803.58
718,711.73,1818.21
719,710.39,1832.85
720,709.06,1847.48
721,707.73,1862.12
722,706.3,1876.64
723,704.96,1891.28
724,703.63,1905.91
725,701.63,1920.22
726,699.63,1934.63
727,697.63,1948.93
728,695.63,1963.23
729,693.63,1977.65
730,691.62,1991.95
731,689.62,2006.25
732,687.62,2020.67
733,685.62,2034.97
734,683.62,2049.27
735,681.62,2063.69
736,679.62,2077.99
737,677.62,2092.4
738,675.62,2106.7
739,673.62,2121.01
740,671.62,2135.42
741,669.62,2149.72
742,667.61,2164.03
743,665.61,2178.44
744,663.61,2192.74
